"","No","事故状況","ガス種","原因","結果","突発性","状況"
104,13167,"12月20日、休日で出勤者無しの状況であった。窒素CEの傍らに設置していた「作業主任者の職務」を記載した立て看板が強風により転倒し、CE送液ラインの液取り出し弁に当たり、そのはずみでバルブが開き、LN2が漏えいした。警備員による発見が20日の16時11分頃であるが、9日16時までは出勤者があり異常はなかったので、漏えいが発生したのはそれ以降の発見されるまでの時間帯と考えられる。発見した警備員が事業所担当者に電話連絡すると同時に、当日出勤していた同敷地内の他事業所の社員に連絡し、その者が開いたバルブを閉止し、漏えいが収まった。最終確認は、16時35分頃である。原因は、窒素CEの傍らに設置していた「作業主任者の職務」を記載した立て看板(大きさ47cm×62cm厚み2cm脚を含む全高109cm)が強風により転倒し、CE送液ラインの液取り出し弁に当たり、そのはずみでバルブが開いたためと推定される。","d","c","a","c","d"
412,1179,"酸素製造設備のターボ型空気圧縮機の運転中に異音が出ているので、非常停止操作をしようとした瞬間、同圧縮機のケーシング（FC25）が破壊し、火災となった。調査の結果、ケーシングの破断面には巣、ピンホールなどの欠陥はなく組織は正常であった。ケーシングを破壊させたのは２段インペラの飛散であるが、破壊に至ったプロセスは次の通りと考えられている。定修時の整備不良により吸入側軸受と軸受ケースに隙があったか、又は軸受取付ビスの締め付け不良によりローターの振動が漸次増大し、振幅の最も大きくなる２段インペラが接触を開始し、ケーシングが破断したものとみられる。","a","b","b","b","a"
484,7600,"メカニカルシールからのガス漏えい検知用のガスディテクターにより漏えいを感知し、調査の結果、当該ポンプのメカニカルシールからの漏えいを発見した。漏えいは停止したが、該当ポンプをブロックして縁切りした。原因は、メカニカルシール管理不良と推定される。","d","b","a","b","a"
518,13529,"1月13日、タンクローリへ液化窒素を充てん中にローリ継手からチャージホースが外れ、隣接する充てんブースで作業中の乗務員の足に液化窒素がかかり、負傷した。同乗務員を医療機関へ搬送した。直後に当該充てんブースの使用を禁止した。現場を確認し、締結部の変形を確認したため、当該継手のテーパリングを交換した。当該事業者として、再発防止に係る乗務員再教育を実施した。原因は、経年劣化により、締結部部品が一部変形していたことから、チャージホースが外れたと推定される。事故設備の一時使用禁止とした。締結部テーパリングを交換した。ローリ乗務員に対する再教育を行った(充てん時の継手取り付け)。","d","a","d","b","b"
489,13137,"流動接触分解装置T-2301(脱エタン塔)の差圧計低圧側取り出し部の内面局部腐食により、ピンホールが生じ、副生ガス(水素、C2含む)が漏えいした。原因は、調査中である。","a","d","a","b","d"
328,16219,"1/9　10:00頃に冷凍機の漏電表示が出て冷凍機の運転が停止されたため、メーカーにより調査したところ、冷凍機の冷却器（蒸発器）チューブに生じた穿孔からNo2圧縮機内にブライン液が浸入したことによる漏電表示と判明し、同時にNo2冷媒サイクル内の冷媒もブライン側へ漏えいしていたことが分かったもの。経年による冷却器（蒸発器）内冷却管の減肉により穿孔が生じ、冷媒ガスの漏えいが発生したもの。
なお、No2サイクル内の冷媒（29kg）については、ブライン側に漏えいした後、大半が大気中に放出されたと考えられる。","a","a","a","a","a"
14,192,"液化塩素5t貯槽が突然爆発、貯槽は型、大きさの同じもの三基が並んでおり、中央のものが爆発、床の凹み径2m深さ40cm両隣りの貯槽が約30度傾斜している。四方の障壁のうち、南北がこなごな東の一部が引っ繰り返っている。建家、屋根スレートが飛んでいる。2時の交替の作業員がバルブの操作にいっているが死亡しているので詳細は不明であるが液塩貯槽が三基とも空になっていたので新しい液を充てんしようとしたときのではないかと想像される。1tボンベの充てん。","b","d","g","a","b"
443,17551,"1月22日20時30分頃に、現地パトロールを行っていた運転員が、塩素精製塔リボイラー近傍で塩素臭気を感じたため、漏えい個所を探索、21時30分頃にリボイラー出の液面調節弁（高圧ガス設備）付近からの微小漏えいと判断し、プラント緊急停止。その後、脱圧にて漏えい停止を確認。なお、上記対応期間中に塩素ガス漏えい検知器に発報はなかった。","c","d","a","b","a"
70,3937,"運転員が点滅している光を確認したため現場に行ったところ、火炎が発生していたため直ちに通報した。火炎が小規模で他の機器へ延焼の恐れがなかったこと等もあり、あえて放水は行わず、内部流体を置換することにより消火した。その後の点検の結果、マンホール取り付け溶接部が内部流体によるエロージョンを受けて減肉しており、溶接部に内在していたブローホール等が数カ所表面に開口していた。このため内部流体が配管と配管外面に取り付けてあるマンホール補強板との隙間を経由して、補強板に開けてあるテストホールから漏えいしたため火災に至った。","a","b","b","b","a"
155,4250,"3月に行った定修で圧縮機のメカニカルシールの部品を一式交換するオーバーホールをメーカーに持ち込んで実施し、4月から運転を開始していた。その後、5月25日、メカニカルシール部から潤滑油とアンモニアガスが噴出し、ガス漏えい検知機が作動したもの。なお事故直後、バルブ閉止によりガス漏えいを停止するとともに、散水により漏えいガスを回収した。アンモニア冷凍機（圧縮機）の軸からのガスの漏えいを防止するために設置しているメカニカルシールの回転環が破損したため、シールオイルとともにアンモニアが噴出したもの。","c","d","a","b","d"
