"","No","事故状況","ガス種","原因","結果","突発性","状況"
0,12850,"事故当時、エピクロルヒドリン製造施設アリルクロライド反応ガス熱交換器(反応ガス1段クーラー)は、定期修理後に運転を開始し、昇温が完了して安定運転であった(運転温度:450(S)/260(T)℃、圧力:0.06(S)/０.17(T)MPa、通油量:10,700kl/時)。17時10分、巡回中に当該熱交換器の上部フランジ部から火炎と煙の発生を発見した。直ちに運転管理室に連絡してプラント停止操作を指示するとともに、17時12分に119番通報を行った。17時21分に公設消防が到着し、現地本部設置、放水準備中の17時30分に消炎を確認した。その際、反応温度は450℃から207℃に低下していた。原因は、立ち上げ時に実施する当該熱交換器のホットボルティング時の締め付け不足(施工不良)のためと推定される。また、本来すべきであった増し締め後のガス漏れの有無について、可燃性ガス検知計による確認を未実施(確認不足)だったためと考えらえる。今後は、①作業方法を見直す。②窒素ガスシールと可燃性ガス検知計による連続監視を行う。③類似機器へ水平展開する。④マニュアル(防災体制)の見直し、教育を行う。","a","b","b","a","a"
1,9543,"事業所内の設備トラブルにより、第二塩化ビニルモノマー製造施設を明け方に緊急停止させた。その後の液処理作業を実施していたところ、15時15分頃に急激な圧力上昇に伴うガスの漏えい、また、15時24分頃、爆発が2回起こり、火災が発生した。消火するよりも、ガスを燃焼させる方が安全と消防等の判断により、燃焼を継続させ、14日15時30分に鎮火を確認した。なお、緊急停止後にプラントの復旧作業にあたっていた作業員1名が死亡した。原因は、①アラーム表示方法に問題があったこと。②塩酸塔の塔頂温度が適正に管理できなかったこと。③塩酸塔還流槽内でHCLとVCMの混合状態を作ったこと。④1,1-EDC生成の異常反応の知識がなかったこと。⑤還流槽と塩酸塔を切り離して閉鎖系にしたこと。⑥冷却源を停止したことで急激な圧力上昇の要因を作ったこと。⑦塩酸塔還流槽及び塩酸バッファータンク内に反応触媒となる塩化第二鉄が存在したこと。と推定される。","c","b","f","a","d"
2,13021,"協力会社作業員がブタン配管周辺にて、異臭・異音があることを確認した。ブタン配管より微量のガス漏えいを確認したため、市消防局へ通報するとともに事業所防衛隊本部を設置した。当該配管の漏えい箇所を縁切りし、フレアへの脱圧、窒素パージ後、ガス検査を実施した結果、0ppmであることを確認した。漏えい箇所の外観目視検査の結果、外面腐食による開孔が確認された。その後、市消防局の指導により、「金属接着剤およびUバンドによる固定」を実施し、窒素0.3MPaを封入した。漏えいした配管は、設置後50年以上経過した配管で、配管固定のための軸方向ストッパー(保護板付)が設置されているものであったが、サポート(架台)接触部には保護板の設置がなかった。原因は、漏えい箇所は、軸方向ストッパーの保護板が架台に接触していたため、架台に滞留した雨水の排出が困難な状況となり、外面腐食の発生を促進したためと推定される。","a","a","a","b","d"
3,7507,"気密試験用の移動式窒素圧縮機の日常点検を実施したところ、吐出配管安全弁袋ナットスリーブの配管溶接部から漏えいがあることが確認された。この設備は、設置後27年が経過しており、長年の使用による圧力の繰り返しが、溶接部の疲労につながったと推定される。","d","a","a","b","c"
4,17547,"事故が発生した冷凍機は、2020年8月27,28日に法定定期点検を実施、この時点では異常を認めなかった。
8月31日に低圧圧力異常で緊急停止、9月1日に業者による調査確認の結果、膨張弁の動作不具合によるものと診断された。
この時点での調査では冷媒漏えいについては発生していないと判断。
新たな膨張弁を手配し、以降は冷凍機全体で合計４つの冷凍サイクルのうち、３つで運転を継続、膨張弁の入荷待ちの状態と
なっていた。
膨張弁入荷後、2021年1月20日に業者が交換を実施しようとした際に冷媒漏えいを覚知、漏れ箇所を調査した。
結果、冷却器内部の冷媒ガスの銅管が、ブラインである冷水と接する箇所で破損したことで漏えいに至ったと推定された。
漏えい量は１冷凍サイクル充填全量にあたる28kg。","a","d","a","c","d"
5,15011,"4月19日23時10分頃、巡回点検中の運転員が灯油脱硫装置の熱交換器の本体フランジ部から油の漏えいを発見した(19時時点での運転員による灯油脱硫装置の巡回点検では、異常がなかった)。当該装置を緊急停止し、消防へ通報した。4月20日1時44分、カス検知器で漏えい停止を確認し、フランジ部の増し締めを行い、再度ガス検知器で漏えいなしを確認した。平成29年度定修工事の点検結果では、フランジ等は健全であった。原因は、運転開始後の温度変化による熱伸びにより、ボルトの締め付け力が低下したため、フランジ部から漏えいしたと推定される。また、定修工事後に行った装置運転開始前の気密テストでは、漏えい等の異常は認められなかったが、漏えいした事実から考えると、熱交換器復旧時のボルトの締め付けが不足していた可能性があると推定される。","a","b","a","a","b"
6,10558,"ポリエチレン製造施設で、パトロール中にエチレン供給圧縮機の1段吐出安全弁ベントバルブ入口配管付近で普段と異なる振動を感知するとともにエチレン臭を確認した。直ちに、計器室から携帯ガス検知器を持参し、このラインのガス漏えい検査を行ったところ、エチレンの漏えいを確認した。その後、スチームを吹きかけ、着火防止を実施、ブロッキング操作を完了させ、機器の脱圧を実施した。原因は、配管取付サポート架台からの振動により、配管外周の応力が集中しやすい仮付けピース（本溶接前の芯合わせ用仮付け板）溶接部近傍に亀裂の起点が発生したと推定される。その後、振動による疲労で亀裂が配管内面まで到達し、エチレンガスが漏えいしたと考えられる。また、破断面に錆が見られないことから、亀裂の発生から貫通までは短期間であったと推定される。","a","a","a","a","d"
7,15308,"小型容器充てん場の小型充てんフレキ付け根部から漏洩したものを発見し、充てんを中断し、ガスは回収した。充てん用フレキシブルホースを最小曲げ半径以下で容器と接続を繰り返したことによる溶接部の破損","d","b","a","b","b"
8,6876,"製油所において、協力会社社員が桟橋付近をパトロールしていたところ、ブタン入出荷配管において、微量な漏えいが発見された。直ぐに脱圧を行い、漏えいは停止した（漏えい量：約5.9L)。調査の結果、配管サポート取り付け部において、外面腐食による局部的な減肉（L:75mm、W:90mm）が確認され、Φ0.6mmの開孔が認められた。この配管は、平成15年に防食テープを取り外して、外面腐食の点検を実施しているが、その時の点検結果では、特に問題となる外面腐食は認められなかった。防食テープの復旧工事の際、施工が難しい場所であり、防食テープ施工の隙間から海水が浸入し、外面腐食が発生したものとみられる。また、腐食した配管は、桟橋下部に設置されているため、日常点検ができない箇所であった。今後、桟橋の全配管を含む類似施設のサポート取り付け部及び架台接触部の全数点検を実施することとした。","a","a","a","b","d"
9,12878,"4月27日現場より、ブラインの冷却状態が悪いとの一報があり、運転を停止した(設定:-20℃)。5月2日、専門業者による漏えい箇所の特定作業を実施した結果、漏えい箇所の特定に至った(発泡試験では特定できず、リークディテクターでかろうじて確認できる程度の微少の漏えい)。原因は、断熱材の経年劣化による冷媒配管周辺結露での外部腐食の進行と推定される。","a","a","a","b","d"
